Academic Year,District Or School,Grade Group,Student Group,Att Rate Grp,Att Rate Grp Add,Group Total,Site Name,Count of Academic Year,% of Total Count of Academic Year
2016-17,All Schools,All Grades,African American,Satisfactory,Satisfactory (Attendance 95% or better),8961,*,5055,56.41%
2016-17,All Schools,All Grades,African American,At Risk,At Risk (Attendance 90.1% to 94.9%),8961,*,1916,21.38%
2016-17,All Schools,All Grades,African American,Moderate Chronic Absent,Moderate (Attendance 80.1% to 90%),8961,*,1446,16.14%
2016-17,All Schools,All Grades,African American,Severe Chronic Absent,Severe (Attendance 80% or less),8961,*,544,6.07%
2016-17,All Schools,All Grades,Asian,Satisfactory,Satisfactory (Attendance 95% or better),4824,*,4092,84.83%
2016-17,All Schools,All Grades,Asian,At Risk,At Risk (Attendance 90.1% to 94.9%),4824,*,491,10.18%
2016-17,All Schools,All Grades,Asian,Moderate Chronic Absent,Moderate (Attendance 80.1% to 90%),4824,*,185,3.83%
2016-17,All Schools,All Grades,Asian,Severe Chronic Absent,Severe (Attendance 80% or less),4824,*,56,1.16%
2016-17,All Schools,All Grades,Filipino,Satisfactory,Satisfactory (Attendance 95% or better),284,*,226,79.58%
2016-17,All Schools,All Grades,Filipino,At Risk,At Risk (Attendance 90.1% to 94.9%),284,*,34,11.97%
2016-17,All Schools,All Grades,Filipino,Moderate Chronic Absent,Moderate (Attendance 80.1% to 90%),284,*,18,6.34%
2016-17,All Schools,All Grades,Filipino,Severe Chronic Absent,Severe (Attendance 80% or less),284,*,6,2.11%
2016-17,All Schools,All Grades,Latino,Satisfactory,Satisfactory (Attendance 95% or better),14373,*,9624,66.96%
2016-17,All Schools,All Grades,Latino,At Risk,At Risk (Attendance 90.1% to 94.9%),14373,*,2996,20.84%
2016-17,All Schools,All Grades,Latino,Moderate Chronic Absent,Moderate (Attendance 80.1% to 90%),14373,*,1364,9.49%
2016-17,All Schools,All Grades,Latino,Severe Chronic Absent,Severe (Attendance 80% or less),14373,*,389,2.71%
2016-17,All Schools,All Grades,Multiple Ethnicity,Satisfactory,Satisfactory (Attendance 95% or better),1404,*,1040,74.07%
2016-17,All Schools,All Grades,Multiple Ethnicity,At Risk,At Risk (Attendance 90.1% to 94.9%),1404,*,236,16.81%
2016-17,All Schools,All Grades,Multiple Ethnicity,Moderate Chronic Absent,Moderate (Attendance 80.1% to 90%),1404,*,103,7.34%
2016-17,All Schools,All Grades,Multiple Ethnicity,Severe Chronic Absent,Severe (Attendance 80% or less),1404,*,25,1.78%
2016-17,All Schools,All Grades,Native American,Satisfactory,Satisfactory (Attendance 95% or better),102,*,56,54.90%
2016-17,All Schools,All Grades,Native American,At Risk,At Risk (Attendance 90.1% to 94.9%),102,*,21,20.59%
