Select District/School,Select Grade,Select Subgroup,Academic Year,Score,Total Tested,Score,COUNT([Academic Year]) / TOTAL(COUNT([Academic Year])) along Score,COUNT([Academic Year]) / TOTAL(COUNT([Academic Year])) along Score,Count of Academic Year
All Schools,All Grades,African American,2017-18,0 out of 6,"1,861",0 out of 6,2.80%,2.80%,53
All Schools,All Grades,African American,2017-18,1 out of 6,"1,861",1 out of 6,7.60%,7.60%,141
All Schools,All Grades,African American,2017-18,2 out of 6,"1,861",2 out of 6,14.80%,14.80%,276
All Schools,All Grades,African American,2017-18,3 out of 6,"1,861",3 out of 6,19.50%,19.50%,362
All Schools,All Grades,African American,2017-18,4 out of 6,"1,861",4 out of 6,20.80%,20.80%,387
All Schools,All Grades,African American,2017-18,5 out of 6,"1,861",5 out of 6,18.60%,18.60%,346
All Schools,All Grades,African American,2017-18,6 out of 6,"1,861",6 out of 6,15.90%,15.90%,296
All Schools,All Grades,African American,2018-19,0 out of 6,"1,791",0 out of 6,4.20%,4.20%,76
All Schools,All Grades,African American,2018-19,1 out of 6,"1,791",1 out of 6,9.40%,9.40%,168
All Schools,All Grades,African American,2018-19,2 out of 6,"1,791",2 out of 6,15.10%,15.10%,271
All Schools,All Grades,African American,2018-19,3 out of 6,"1,791",3 out of 6,19.20%,19.20%,344
All Schools,All Grades,African American,2018-19,4 out of 6,"1,791",4 out of 6,20.00%,20.00%,358
All Schools,All Grades,African American,2018-19,5 out of 6,"1,791",5 out of 6,16.40%,16.40%,294
All Schools,All Grades,African American,2018-19,6 out of 6,"1,791",6 out of 6,15.60%,15.60%,280
All Schools,All Grades,Asian,2017-18,0 out of 6,984,0 out of 6,1.10%,1.10%,11
All Schools,All Grades,Asian,2017-18,1 out of 6,984,1 out of 6,3.20%,3.20%,31
All Schools,All Grades,Asian,2017-18,2 out of 6,984,2 out of 6,5.90%,5.90%,58
All Schools,All Grades,Asian,2017-18,3 out of 6,984,3 out of 6,10.90%,10.90%,107
All Schools,All Grades,Asian,2017-18,4 out of 6,984,4 out of 6,17.40%,17.40%,171
All Schools,All Grades,Asian,2017-18,5 out of 6,984,5 out of 6,27.30%,27.30%,269
All Schools,All Grades,Asian,2017-18,6 out of 6,984,6 out of 6,34.20%,34.20%,337
All Schools,All Grades,Asian,2018-19,0 out of 6,927,0 out of 6,1.20%,1.20%,11
All Schools,All Grades,Asian,2018-19,1 out of 6,927,1 out of 6,4.10%,4.10%,38
All Schools,All Grades,Asian,2018-19,2 out of 6,927,2 out of 6,7.00%,7.00%,65
All Schools,All Grades,Asian,2018-19,3 out of 6,927,3 out of 6,10.50%,10.50%,97
All Schools,All Grades,Asian,2018-19,4 out of 6,927,4 out of 6,20.50%,20.50%,190
All Schools,All Grades,Asian,2018-19,5 out of 6,927,5 out of 6,26.00%,26.00%,241
All Schools,All Grades,Asian,2018-19,6 out of 6,927,6 out of 6,30.70%,30.70%,285
All Schools,All Grades,Filipino,2017-18,1 out of 6,68,1 out of 6,2.90%,2.90%,2
All Schools,All Grades,Filipino,2017-18,2 out of 6,68,2 out of 6,10.30%,10.30%,7
All Schools,All Grades,Filipino,2017-18,3 out of 6,68,3 out of 6,13.20%,13.20%,9
All Schools,All Grades,Filipino,2017-18,4 out of 6,68,4 out of 6,17.60%,17.60%,12
All Schools,All Grades,Filipino,2017-18,5 out of 6,68,5 out of 6,22.10%,22.10%,15
All Schools,All Grades,Filipino,2017-18,6 out of 6,68,6 out of 6,33.80%,33.80%,23
All Schools,All Grades,Filipino,2018-19,0 out of 6,58,0 out of 6,1.70%,1.70%,1
All Schools,All Grades,Filipino,2018-19,1 out of 6,58,1 out of 6,6.90%,6.90%,4
All Schools,All Grades,Filipino,2018-19,2 out of 6,58,2 out of 6,17.20%,17.20%,10
All Schools,All Grades,Filipino,2018-19,3 out of 6,58,3 out of 6,15.50%,15.50%,9
All Schools,All Grades,Filipino,2018-19,4 out of 6,58,4 out of 6,19.00%,19.00%,11
